,Frame,t,thickness,q_y,q_y Fehler,Distance,Radius,2R/D,Coverage,Porosity,Particle Density,Fehler Distance,Fehler Radius,Fehler 2R/D,Fehler Coverage,Fehler Porosity,Fehler Particle Density
0,10,0.5,0.0225228,-2.4964169999999998e-06,1.198891,,,,,,,,,,,,
1,20,1.0,0.0450456,9.240165999999999e-05,34.5196,,,,,,,,,,,,
2,30,1.5,0.0675684,-1.1060560000000001e-05,4.7066,,,,,,,,,,,,
3,40,2.0,0.0900912,3.021808e-05,14.0582,,,,,,,,,,,,
4,50,2.5,0.112614,1.6041099999999998e-05,7.629950999999999,,,,,,,,,,,,
5,60,3.0,0.1351368,-7.441366000000001e-06,3.403777,,,,,,,,,,,,
6,70,3.5,0.1576596,1.29648e-05,5.990163,,,,,,,,,,,,
7,80,4.0,0.1801824,4.922357e-07,0.2531987,,,,,,,,,,,,
8,90,4.5,0.2027052,3.148851e-06,1.498378,,,,,,,,,,,,
9,100,5.0,0.225228,8.741656999999999e-05,38.474000000000004,,,,,,,,,,,,
10,110,5.5,0.2477508,4.898469e-05,30.341070000000002,,,,,,,,,,,,
11,120,6.0,0.2702736,-6.411491e-06,3.5092339999999997,,,,,,,,,,,,
12,130,6.5,0.2927964,0.0002619947,138.6088,,,,,,,,,,,,
13,140,7.0,0.3153192,-0.0003949988,193.9178,,,,,,,,,,,,
14,150,7.5,0.33784200000000003,-1.315779,3.928011,,,,,,,,,,,,
15,160,8.0,0.3603648,1.401828,0.04686501,4.48213711466713,1.44121315989518,0.643091955031461,0.375064019009732,0.749957320660179,57477.6617373175,0.149843918583625,0.0321211395171729,0.00358323927798429,0.0208981641608092,0.00278642188810789,640.518711305525
16,170,8.5,0.3828876,-1.305636,0.02291547,,,,,,,,,,,,
17,180,9.0,0.4054104,-1.301036,0.01926048,,,,,,,,,,,,
18,190,9.5,0.4279332,-1.30525,0.01477566,,,,,,,,,,,,
19,200,10.0,0.450456,1.279107,0.01238291,4.91216552421305,1.65027679572227,0.671914163961994,0.40943676948707,0.727042153675287,47854.5661080411,0.0475541949121012,0.0106507790390834,0.00108412257145892,0.0066061956600049,8.80826088000653E-4,154.425127635901
20,210,10.5,0.4729788,1.2506469999999998,0.009682286,5.02394785033634,1.70268631767793,0.677828022264976,0.416675809650923,0.722216126899384,45748.7384830516,0.0388945081514141,0.00878792917908067,8.74603941051295E-4,0.00537638299525739,7.16851066034319E-4,118.059524425387
21,220,11.0,0.4955016,1.217571,0.008384612,5.16042621512798,1.76047316012909,0.682297580369699,0.422188998294924,0.718540667803384,43360.8934962077,0.0355364669234703,0.00808214846559054,7.83089238045632E-4,0.00484556402511174,6.46075203348233E-4,99.5326673458947
22,230,11.5,0.5180244,1.1946450000000002,0.007472874,5.25945808769935,1.80953953979409,0.688108740338168,0.429411230267131,0.713725846488579,41743.3569066478,0.0328995371827264,0.00754615302950486,7.17388835853029E-4,0.0044768334497853,5.9691112663804E-4,87.0392031385638
23,240,12.0,0.5405472,1.191265,0.0065531999999999995,5.27438085327747,1.83886369063239,0.697281346108987,0.440935782315195,0.70604281178987,41507.4827343019,0.0290145959192102,0.0067437788331184,6.39295779041805E-4,0.00404267783779979,5.39023711706638E-4,76.1114825708881
24,250,12.5,0.56307,1.154498,0.005793792,5.44235269977045,1.90342568168284,0.699486338606143,0.443728908424349,0.704180727717101,38984.8620146403,0.027312182033324,0.00636816606994475,5.85056355334463E-4,0.003711386535963,4.948515381284E-4,65.2145439436381
25,260,13.0,0.5855928,1.1437680000000001,0.005513533,5.49340889689132,1.94051587432593,0.70648877982633,0.452657569887247,0.698228286741835,38263.5724553256,0.0264809744943938,0.00623617045305216,5.6760479422724E-4,0.00363672593462011,4.84896791282681E-4,61.4831764921815
26,270,13.5,0.6081156,1.124107,0.004792896,5.58949041966609,1.98792898016624,0.711309558084902,0.458856130727427,0.694095912848382,36959.4020273812,0.0238321140909681,0.00565067018075851,5.05472749436797E-4,0.00326073602355612,4.34764803140816E-4,52.528383312095
27,280,14.0,0.6306384,1.099941,0.004609579,5.71229302951666,2.04153953755249,0.714788098930993,0.463355023304651,0.691096651130233,35387.3802473362,0.0239387985271086,0.00570372276329468,4.99249840109944E-4,0.00323634265378723,4.31512353838298E-4,49.4332347077815
28,290,14.5,0.6531611999999999,1.088337,0.0042672859999999995,5.77319828984918,2.08021607603658,0.720645982208562,0.470980784778232,0.686012810147845,34644.66926485,0.0226362682124171,0.00543757857982458,4.7093294798009E-4,0.00307779929248808,4.10373238998411E-4,45.2796980250678
29,300,15.0,0.6756840000000001,1.0716139999999998,0.004291327,5.86329154637732,2.12568811379211,0.725083546324926,0.476799015539455,0.682133989640364,33588.1735975626,0.0234798176599417,0.00567494315197771,4.83938339675777E-4,0.00318227223757479,4.24302965009972E-4,44.8351229204756
30,310,15.5,0.6982068,1.052178,0.003974121,5.97159920391758,2.17543343161763,0.728593248585897,0.481425992989926,0.679049338006716,32380.8366189159,0.0225549838524205,0.00547780298561251,4.58654608134022E-4,0.00303061070890907,4.04081427854543E-4,40.7679317899959
31,320,16.0,0.7207296,1.041056,0.0038143359999999998,6.03539608549356,2.21420916206764,0.733741126747131,0.488253060515056,0.67449795965663,31699.8943356724,0.0221131510342932,0.00540844278527727,4.48060301980577E-4,0.00298152585104733,3.97536780139644E-4,38.7151918054844
32,330,16.5,0.7432524,1.028548,0.003530725,6.10879152667604,2.25513726909542,0.738325169306442,0.494372832766494,0.670418111489004,30942.7393973644,0.0209698166376516,0.00516084780643972,4.22411518211351E-4,0.00282841202674301,3.77121603565734E-4,35.4059974380581
33,340,17.0,0.7657752,1.019181,0.0032731540000000003,6.16493567597864,2.29162457839522,0.743438277004064,0.501243882104103,0.665837411930598,30381.7138570917,0.0197990188863138,0.00490644949573736,3.97931929351274E-4,0.00268295232100509,3.57726976134012E-4,32.524163433906
