,Frame,t [s],thickness,q_y,q_y Fehler,Distance,Radius,2R/D,Coverage,Porosity,Particle Density,Fehler Distance,Fehler Radius,Fehler 2R/D,Fehler Coverage,Fehler Porosity,Fehler Particle Density
0,10,0.5,0.0289643,5.202472e-05,23.17171,,,,,,,,,,,,
1,20,1.0,0.0579286,2.7047829999999997e-05,11.13115,,,,,,,,,,,,
2,30,1.5,0.0868929,4.79653e-06,2.010993,,,,,,,,,,,,
3,40,2.0,0.1158572,1.1177229999999999e-05,4.648021,,,,,,,,,,,,
4,50,2.5,0.1448215,1.346596e-05,6.319984,,,,,,,,,,,,
5,60,3.0,0.1737858,1.6914420000000001e-06,0.7497119000000001,,,,,,,,,,,,
6,70,3.5,0.2027501,8.549044e-06,3.760361,,,,,,,,,,,,
7,80,4.0,0.2317144,5.110254e-05,23.83278,,,,,,,,,,,,
8,90,4.5,0.26067870000000004,1.60791e-05,7.023631,,,,,,,,,,,,
9,100,5.0,0.289643,2.447949e-05,12.6686,,,,,,,,,,,,
10,110,5.5,0.3186073,2.909705e-05,16.0559,,,,,,,,,,,,
11,120,6.0,0.3475716,8.331087e-05,42.69723,,,,,,,,,,,,
12,130,6.5,0.37653590000000003,1.372588e-05,7.816632000000001,,,,,,,,,,,,
13,140,7.0,0.4055002,4.347577e-06,2.1898150000000003,,,,,,,,,,,,
14,150,7.5,0.43446450000000003,0.0003706411,143.0742,,,,,,,,,,,,
15,160,8.0,0.4634288,0.0006030034,216.0904,,,,,,,,,,,,
16,170,8.5,0.4923931,0.0003678344,121.7779,,,,,,,,,,,,
17,180,9.0,0.5213574000000001,0.0006837306,201.2054,,,,,,,,,,,,
18,190,9.5,0.5503216999999999,1.065564,0.0838243,5.89658181693412,1.99264425441669,0.675864192605318,0.414264888562181,0.723823407625212,33209.9873768721,0.463864059969397,0.10450303612328,0.00886132333678158,0.0543146857725155,0.00724195810300208,870.838962551018
19,200,10.0,0.579286,1.151974,0.02922553,5.4542770124843,1.92433115447645,0.70562281676264,0.451548579868214,0.69896761342119,38814.5884731624,0.138374769271416,0.032546798154059,0.00298360333363731,0.0190929462056665,0.00254572616075554,328.241470687146
20,210,10.5,0.6082503,1.128914,0.02121075,5.56568995262667,1.98242815143665,0.712374626797548,0.460231282197446,0.693179145201703,37276.1756370361,0.104571701797193,0.0248314090137866,0.0022307574824634,0.0144118605268271,0.00192158140357694,233.456118710331
21,220,11.0,0.6372146,1.145283,0.01658566,5.48614212136178,1.99417812512243,0.726987409734631,0.479306180304891,0.680462546463406,38365.0050963087,0.079448737068991,0.0192527438561578,0.00175467053443549,0.0115686244396008,0.00154248325861345,185.197000923394
22,230,11.5,0.6661789,1.149597,0.01384853,5.46555471802692,2.01887979407703,0.738764827444944,0.494961786695595,0.67002547553627,38654.5725541659,0.0658403757831982,0.0162135179514616,0.0014832454149608,0.00993753050258417,0.00132500406701122,155.216424437881
23,240,12.0,0.6951432,1.142984,0.01165579,5.4971769571399,2.05561562675728,0.747880464021587,0.507251835619131,0.661832109587246,38211.1346192165,0.0560584751888579,0.0139750128121952,0.00127110814524936,0.00862132347301903,0.00114950979640254,129.888362620217
24,250,12.5,0.7241075,1.114271,0.009869938,5.63883050638452,2.1194233515157,0.751724439709972,0.512479608768693,0.658346927487538,36315.4380407406,0.0499473714119131,0.0125155532632021,0.00110976498132294,0.00756569686191131,0.00100875958158817,107.224401097205
25,260,13.0,0.7530718000000001,1.111391,0.009343037,5.65344267425198,2.15102172257096,0.76095994830462,0.525149368854286,0.649900420763809,36127.9552842136,0.0475263197946674,0.0120552086180197,0.00106618297138873,0.00735788152524216,9.81050870032288E-4,101.237945048068
26,270,13.5,0.7820361,1.088924,0.007657893000000001,5.77008616503961,2.20811220778117,0.765365419033049,0.531247527125784,0.645834981916144,34682.0508941313,0.0405783162577495,0.0103524133420893,8.97076148083682E-4,0.00622669215856486,8.30225621141982E-4,81.300878900582
27,280,14.0,0.8110004,1.0774780000000002,0.007650514000000001,5.83138152907028,2.25084367431984,0.771976130561533,0.540464277408161,0.639690481727893,33956.7763727962,0.0414050830063292,0.0106545785882684,9.13555264318906E-4,0.00639584523738307,8.5277936498441E-4,80.3687849573871
28,290,14.5,0.8399646999999999,1.057242,0.006580106999999999,5.94299631227249,2.30629394179331,0.776138439470586,0.546308095064544,0.635794603290304,32693.2764454098,0.0369882691336121,0.00956933916135993,8.05093816194949E-4,0.00566689197063503,7.55585596084671E-4,67.8259273314833
29,300,15.0,0.8689290000000001,1.048906,0.006078796,5.99022725313764,2.34484587642279,0.7828904571841,0.555854656847813,0.629430228768124,32179.7577923489,0.0347155698084138,0.00905949610623853,7.56189683913347E-4,0.00536897024872877,7.15862699830504E-4,62.164510117875
30,310,15.5,0.8978933000000001,1.02653,0.005612099000000001,6.12080047069213,2.4049408422914,0.785825597095293,0.560030386741966,0.626646408838689,30821.4398714278,0.0334627708890834,0.00876530063812566,7.16025679982222E-4,0.00510286429915054,6.80381906553405E-4,56.1675326523985
31,320,16.0,0.9268576,1.03009,0.005291364000000001,6.09964693102504,2.42492406031675,0.795103089650219,0.573331933462032,0.617778711025312,31035.5877046147,0.031332652664851,0.00830422964692008,6.80713961055821E-4,0.00490848364830806,6.54464486441075E-4,53.141179087601
32,330,16.5,0.9558219000000001,1.010158,0.004734269,6.22000252156553,2.4820472160506,0.798085598018662,0.577641247405976,0.614905835062683,29846.1451535078,0.0291510487644205,0.00775501072867457,6.23392892670621E-4,0.00451201536577354,6.01602048769806E-4,46.6262636702219
33,340,17.0,0.9847862,0.9930183000000001,0.004852524,6.32736104377894,2.53563303702754,0.801482014218415,0.582568249596425,0.611621166935717,28841.9178593108,0.0309195422900085,0.00826048567776916,6.52759153509256E-4,0.00474466988306366,6.32622651075155E-4,46.9800333717698
34,350,17.5,1.0137505,0.9705984000000001,0.004395555,6.47351706656387,2.5995283892484,0.803127067564285,0.584962163248257,0.610025224501162,27554.2613733155,0.0293166569299106,0.00784833357030243,6.0618775617659E-4,0.00441520296735961,5.88693728981282E-4,41.5950515169418
35,360,18.0,1.0427148000000002,0.9621639000000001,0.004328117,6.53026506937081,2.63936665306177,0.808349010346092,0.592593756606575,0.604937495595616,27077.4491064079,0.0293751940404852,0.00791513634378354,6.06034843892345E-4,0.00444278968836595,5.92371958448794E-4,40.6009716896393
36,370,18.5,1.0716791,0.9502203000000001,0.003951494,6.61234590250239,2.68585545092369,0.812375967780889,0.598512719456724,0.600991520362184,26409.3820927761,0.0274974604938063,0.00744609202672422,5.63044654387054E-4,0.00414819493236976,5.53092657649302E-4,36.6078318481557
37,380,19.0,1.1006433999999998,0.9345935,0.00404775,6.72290713254435,2.73996043717738,0.815111791121949,0.602550707520717,0.598299528319522,25547.8962629658,0.0291170945932712,0.00791122904206283,5.88378575375974E-4,0.00434943931303999,5.79925241738665E-4,36.8828790621875
38,390,19.5,1.1296077,0.9185002,0.003739014,6.84070107679845,2.79597722499891,0.817453414089971,0.606017650948734,0.595988232700844,24675.6238883289,0.0278470022063843,0.00758787567525994,5.54612428614641E-4,0.00411160948603029,5.48214598137372E-4,33.4830277943675
39,400,20.0,1.158572,0.906384,0.00361029,6.93214499282819,2.84474564158687,0.820740375318163,0.610901015048425,0.592732656634383,24028.9112083383,0.0276119765421253,0.00755408799682008,5.44859347621503E-4,0.0040555471441449,5.4073961921932E-4,31.9038206934925
40,410,20.5,1.1875363,0.8990239,0.0035926590000000002,6.98889685488849,2.8838902226319,0.825277660412092,0.617674152788778,0.588217231474148,23640.2522475392,0.0279288717305367,0.00768302463990891,5.49659323884205E-4,0.00411389249326219,5.48518999101625E-4,31.4902139974224
41,420,21.0,1.2165006,0.8821233,0.0033920029999999998,7.12279712731722,2.94416287283263,0.826687274734032,0.619785989707959,0.586809340194694,22759.788321062,0.0273890840705051,0.00754740242256906,5.29806078122273E-4,0.0039720749855252,5.29609998070027E-4,29.1725167613218
42,430,21.5,1.2454649,0.8758729,0.003259175,7.17362679811145,2.98144651611814,0.831224316520911,0.626607701966227,0.582261532022515,22438.3960896883,0.026693490710507,0.00739609285713283,5.15505828870269E-4,0.00388607402789411,5.18143203719215E-4,27.8315341474811
43,440,22.0,1.2744292,0.8635699,0.0033359220000000003,7.27582713012529,3.03284925851297,0.833678207101863,0.630312830297834,0.57979144646811,21812.4588252511,0.0281061113774135,0.00781048418057578,5.36742011656432E-4,0.00405810507729371,5.41080676972495E-4,28.0867676024254
44,450,22.5,1.3033934999999999,0.850987,0.00315496,7.38340927320816,3.08570083535775,0.835847159808597,0.6335968242927,0.5776021171382,21181.4400532996,0.0273733452104448,0.00762664428287019,5.16471727400014E-4,0.00391500817437183,5.22001089916244E-4,26.1761131919203
45,460,23.0,1.3323578,0.8395199000000001,0.003113507,7.48426011959882,3.13663182377168,0.838194229930055,0.637160117057296,0.575226588628469,20614.443812981,0.0277566931673588,0.00775516668493971,5.18098419951458E-4,0.00393836700511549,5.25115600682065E-4,25.4840951805999
46,470,23.5,1.3613221000000002,0.8319744000000001,0.003156774,7.55213779075364,3.17827087261487,0.841687734168766,0.642482416333505,0.571678389110996,20245.5489946525,0.0286551992732812,0.0080395765828275,5.32271576974578E-4,0.00406296913971308,5.41729218628411E-4,25.6060052977772
47,480,24.0,1.3902864,0.8232004,0.002991062,7.63263150404153,3.22335615746347,0.844625121953465,0.646974612213213,0.568683591857858,19820.7816444634,0.0277328267232881,0.00780794738442385,5.11484628878618E-4,0.00391792241102668,5.22389654803558E-4,24.0059758583904
48,490,24.5,1.4192506999999999,0.8092554,0.002942143,7.76415617020237,3.28276569658664,0.845620728028472,0.648500760262472,0.567666159825018,19154.9421046954,0.0282275011412562,0.00795658668849785,5.1239223645668E-4,0.00392950106213051,5.23933474950735E-4,23.2133468324647
49,500,25.0,1.448215,0.8019279,0.003003299,7.83510002230823,3.3250490008251,0.848757256795182,0.653320447145575,0.564453035236283,18809.6311068605,0.0293432215812647,0.00830175741828247,5.29779925887709E-4,0.00407791574444506,5.43722099259342E-4,23.4813072736353
50,510,25.5,1.4771793,0.7905052,0.0029851020000000003,7.94831622509199,3.37923583430938,0.850302312744299,0.655701187677788,0.562865874881475,18277.5968477164,0.0300143941623085,0.00850710292394332,5.3515126242004E-4,0.00412675954300984,5.50234605734646E-4,23.0065916097334
51,520,26.0,1.5061436000000001,0.7867321999999999,0.002827439,7.98643465613787,3.4120450873211,0.85446015255351,0.66212940983549,0.558580393443007,18103.5390423103,0.0287024692998657,0.00817503876554189,5.11807778910398E-4,0.00396604782079562,5.28806376106083E-4,21.6874527851836
52,530,26.5,1.5351079,0.7781309000000001,0.002888405,8.07471507323458,3.45903624448175,0.856757473944186,0.665694629153849,0.556203580564101,17709.8529462916,0.0299731669711434,0.00855991160676805,5.30044189122027E-4,0.00411840667450923,5.49120889934564E-4,21.912863161084
53,540,27.0,1.5640722,0.7667294,0.002751013,8.19478854884081,3.51507643308992,0.857880935460413,0.667441617460835,0.555038921692776,17194.6707621968,0.0294027721254881,0.00840802588538103,5.13010545377061E-4,0.00399128333580658,5.32171111440877E-4,20.5647358757528
54,550,27.5,1.5930365,0.7599187,0.002704748,8.26823357180128,3.5577416330493,0.860580824707936,0.671649320401027,0.552233786399315,16890.554023947,0.0294287904967497,0.00844195093194997,5.10505107205798E-4,0.00398429059155942,5.31238745541256E-4,20.0392893850191
55,560,28.0,1.6220008,0.7498411,0.002698429,8.37935571573709,3.6111714832489,0.861921036832662,0.673742914532288,0.550838056978475,16445.5390696466,0.0301545173566249,0.00866360428840355,5.16961242744035E-4,0.00404096152086633,5.38794869448844E-4,19.7273438093161
56,570,28.5,1.6509651,0.7385552,0.002654306,8.5074010814352,3.66945226408777,0.862649410545655,0.674882100044337,0.550078599970442,15954.2191058631,0.030574892350443,0.00879180428786885,5.16715046329148E-4,0.00404245028545888,5.38993371394517E-4,19.1127124499324
57,580,29.0,1.6799293999999998,0.7335475,0.002716287,8.56547845528693,3.70756494788265,0.865699439263478,0.679662834076335,0.54689144394911,15738.6005940622,0.0317175067420664,0.0091526092671475,5.34273089058917E-4,0.00419459162627438,5.59278883503252E-4,19.4263976051737
